symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
VETUSDT,HID_BEAR,1.5,10.0,48,25.75,14.6,16,15.83,18.8
VIRTUALUSDT,HID_BULL,2.0,10.0,42,11.75,11.9,10,0.73,10.0
VIRTUALUSDT,HID_BEAR,1.5,7.0,47,6.95,14.9,27,3.67,14.8
VVVUSDT,REG_BEAR,1.5,10.0,28,47.47,25.0,4,6.83,25.0
VVVUSDT,HID_BULL,2.0,7.0,30,41.16,30.0,10,5.65,20.0
WCTUSDT,REG_BEAR,1.0,9.0,21,27.09,23.8,7,2.38,14.3
WCTUSDT,HID_BEAR,2.0,9.0,31,7.69,12.9,11,38.42,45.5
WIFUSDT,HID_BULL,1.0,10.0,45,17.74,13.3,5,5.57,20.0
WLDUSDT,HID_BULL,1.0,7.0,30,7.79,16.7,5,2.51,20.0
WLDUSDT,HID_BEAR,1.5,5.0,56,25.22,25.0,15,1.94,20.0
WUSDT,REG_BEAR,1.0,3.0,24,18.02,45.8,10,0.92,30.0
XAUTUSDT,REG_BULL,2.0,10.0,21,15.51,19.0,9,55.16,66.7
XCNUSDT,HID_BEAR,1.0,8.0,70,31.74,17.1,27,6.48,14.8
XLMUSDT,REG_BEAR,2.0,10.0,22,9.88,13.6,9,12.23,22.2
XLMUSDT,HID_BULL,2.0,4.0,38,5.02,23.7,10,4.39,30.0
XLMUSDT,HID_BEAR,1.0,9.0,63,18.76,14.3,24,23.03,20.8
XPLUSDT,HID_BEAR,1.5,10.0,27,16.15,14.8,4,6.76,25.0
XRPUSDT,REG_BEAR,1.0,9.0,30,15.66,16.7,6,3.1,16.7
XRPUSDT,HID_BULL,2.0,10.0,42,21.29,14.3,6,15.48,33.3
XTZUSDT,REG_BULL,1.0,6.0,20,19.77,30.0,9,4.22,22.2
XTZUSDT,REG_BEAR,1.5,5.0,32,13.26,25.0,6,5.58,33.3
XVSUSDT,HID_BULL,1.5,1.5,46,5.23,47.8,15,1.08,46.7
XVSUSDT,HID_BEAR,1.0,10.0,43,29.59,16.3,10,10.76,20.0
ZECUSDT,REG_BULL,1.5,9.0,24,34.59,25.0,3,6.91,33.3
ZENUSDT,HID_BEAR,2.0,6.0,45,9.17,17.8,20,7.25,20.0
ZETAUSDT,HID_BEAR,1.5,10.0,48,15.28,12.5,14,7.14,14.3
ZORAUSDT,REG_BEAR,2.0,1.5,14,3.13,50.0,11,6.02,63.6
ZORAUSDT,HID_BEAR,2.0,9.0,41,37.67,19.5,17,2.17,11.8
